TeamID,SeedNum,Region,R64,R32,S16,E8,F4,Championship,AvgRound,TeamName
1437,8,Z,0.5056,0.129,0.0598,0.0177,0.0052,0.0013,1.7186,Villanova
1326,8,W,0.6761,0.1333,0.0525,0.0208,0.0038,0.0012,1.8877,Ohio St
1365,10,Y,0.3565,0.1514,0.0608,0.0157,0.0051,0.001,1.5905,Santa Clara
1155,8,X,0.4426,0.1038,0.0471,0.0133,0.0033,0.0007,1.6108,Clemson
1274,7,Z,0.6591,0.1836,0.0471,0.0119,0.0025,0.0005,1.9047,Miami FL
1314,6,X,0.6019,0.183,0.0477,0.0134,0.003,0.0005,1.8495,North Carolina
1270,12,X,0.2491,0.0912,0.0133,0.0024,0.0007,0.0004,1.3571,McNeese
1433,11,X,0.3981,0.1054,0.0215,0.0047,0.0014,0.0003,1.5314,VCU
1395,9,W,0.3239,0.063,0.0167,0.0054,0.0008,0.0003,1.4101,TCU
1374,11,Y,0.2849,0.1145,0.0321,0.0084,0.0015,0.0003,1.4417,SMU
1378,11,W,0.2525,0.0779,0.0244,0.0053,0.0005,0.0002,1.3608,South Florida
1387,9,Y,0.4069,0.0741,0.0248,0.0066,0.0014,0.0002,1.514,St Louis
1416,10,W,0.291,0.0844,0.0217,0.0037,0.0004,0.0001,1.4013,UCF
1281,10,Z,0.3409,0.09,0.0215,0.0051,0.001,0.0001,1.4586,Missouri
1401,10,X,0.2235,0.0425,0.0136,0.0029,0.0007,0.0001,1.2833,Texas A&M
1400,11,Z,0.3104,0.0834,0.0262,0.006,0.0013,0.0001,1.4274,Texas
1465,13,W,0.1411,0.0197,0.0025,0.0004,0.0,0.0,1.1637,Cal Baptist
1301,11,Z,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NC State
1219,12,Z,0.2124,0.0602,0.0097,0.0022,0.0002,0.0,1.2847,High Point
1218,13,Z,0.1366,0.0191,0.0025,0.0003,0.0,0.0,1.1585,Hawaii
1244,14,Z,0.1178,0.0164,0.0031,0.0003,0.0,0.0,1.1376,Kennesaw
1474,15,Z,0.1046,0.0191,0.0016,0.0,0.0,0.0,1.1253,Queens NC
1320,12,W,0.1546,0.0427,0.0059,0.0009,0.0,0.0,1.2041,Northern Iowa
1460,14,Y,0.1292,0.0158,0.0024,0.0003,0.0,0.0,1.1477,Wright St
1295,14,W,0.0977,0.0153,0.0023,0.0001,0.0,0.0,1.1154,N Dakota St
1420,16,Y,0.0767,0.0115,0.0007,0.0,0.0,0.0,1.0889,UMBC
1224,16,Y,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Howard
1398,15,Y,0.1593,0.0209,0.0025,0.0003,0.0003,0.0,1.1833,Tennessee St
1220,13,Y,0.1561,0.0268,0.0056,0.0011,0.0001,0.0,1.1897,Hofstra
1103,12,Y,0.2172,0.0588,0.0132,0.0019,0.0002,0.0,1.2913,Akron
1275,11,Y,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Miami OH
1202,15,W,0.107,0.0165,0.0023,0.0002,0.0,0.0,1.126,Furman
1373,16,W,0.0679,0.0086,0.001,0.0,0.0,0.0,1.0775,Siena
1341,16,X,0.0592,0.0073,0.0005,0.0001,0.0,0.0,1.0671,Prairie View
1250,16,X,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Lehigh
1225,15,X,0.0635,0.008,0.001,0.0002,0.0,0.0,1.0727,Idaho
1335,14,X,0.13,0.0218,0.0023,0.0003,0.0,0.0,1.1544,Penn
1407,13,X,0.2157,0.0473,0.006,0.0008,0.0,0.0,1.2698,Troy
1254,16,Z,0.061,0.0074,0.0007,0.0,0.0,0.0,1.0691,LIU Brooklyn
